boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,area,overlabel,overmodzct,overpop_es,overzcta,overarea,overmodztc,piecearea,pieceofct,perc_ct,aug6_COVID_CASE_RATE,aug6_COVID_DEATH_RATE,aug6_PERCENT_POSITIVE,may18_COVID_CASE_RATE,may18_COVID_DEATH_RATE,may18_PERCENT_POSITIVE
"1","1007400",Manhattan,I,"007400","74",MN17,Midtown-Midtown South,"3807",1879420.3381199999712407588958740234375,5726.1574022799995873356238007545471,174605.061729037406622,"10016","10016",51057.0000000000000000000000000000000,"10016","1378972",Kips Bay/Murray Hill/NoMad,174556.1426000000,0.9997198290,99.9719829800,"1523.1","93.29","6.62","1222.29","87.58","21.32"
"1","1006800",Manhattan,I,"006800","68",MN21,Gramercy,"3808",1877721.0406899999361485242843627929688,5723.8908705399999234941788017749786,174447.050547646067571,"10010","10010",33730.0000000000000000000000000000000,"10010","977409",Flatiron/Gramercy/Kips Bay,125718.2179000000,0.7206669150,72.0666915800,"960.71","58.69","4.58","775.36","61.78","17.04"
"1","1006800",Manhattan,I,"006800","68",MN21,Gramercy,"3808",1877721.0406899999361485242843627929688,5723.8908705399999234941788017749786,174447.050547646067571,"10016","10016",51057.0000000000000000000000000000000,"10016","1378972",Kips Bay/Murray Hill/NoMad,48714.4442400000,0.2792506040,27.9250604000,"1523.1","93.29","6.62","1222.29","87.58","21.32"
"1","1005600",Manhattan,I,"005600","56",MN13,Hudson Yards-Chelsea-Flatiron-Union Square,"3807",1878253.7853200000245124101638793945313,5723.8407864900000276975333690643311,174496.686959785700310,"10016","10016",51057.0000000000000000000000000000000,"10016","1378972",Kips Bay/Murray Hill/NoMad,24358.1493000000,0.1395908980,13.9590898300,"1523.1","93.29","6.62","1222.29","87.58","21.32"
"1","1007400",Manhattan,I,"007400","74",MN17,Midtown-Midtown South,"3807",1879420.3381199999712407588958740234375,5726.1574022799995873356238007545471,174605.061729037406622,"10001, 10118","10001",23072.0000000000000000000000000000000,"10001, 10119, 10199","1712835",Chelsea/NoMad/West Chelsea,48.9286642900,0.0002802240,0.0280224770,"1803.67","106.1","6.73","1421.72","72.15","24.26"
"1","1007600",Manhattan,I,"007600","76",MN17,Midtown-Midtown South,"3807",1873518.1977500000502914190292358398438,5717.6335102000002734712325036525726,174056.570679242082406,"10001, 10118","10001",23072.0000000000000000000000000000000,"10001, 10119, 10199","1712835",Chelsea/NoMad/West Chelsea,174043.1615000000,0.9999229600,99.9922960700,"1803.67","106.1","6.73","1421.72","72.15","24.26"
"1","1007600",Manhattan,I,"007600","76",MN17,Midtown-Midtown South,"3807",1873518.1977500000502914190292358398438,5717.6335102000002734712325036525726,174056.570679242082406,"10016","10016",51057.0000000000000000000000000000000,"10016","1378972",Kips Bay/Murray Hill/NoMad,12.5679949900,0.0000722060,0.0072206380,"1523.1","93.29","6.62","1222.29","87.58","21.32"
"1","1005600",Manhattan,I,"005600","56",MN13,Hudson Yards-Chelsea-Flatiron-Union Square,"3807",1878253.7853200000245124101638793945313,5723.8407864900000276975333690643311,174496.686959785700310,"10001, 10118","10001",23072.0000000000000000000000000000000,"10001, 10119, 10199","1712835",Chelsea/NoMad/West Chelsea,25.1058146600,0.0001438750,0.0143875590,"1803.67","106.1","6.73","1421.72","72.15","24.26"
"1","1005600",Manhattan,I,"005600","56",MN13,Hudson Yards-Chelsea-Flatiron-Union Square,"3807",1878253.7853200000245124101638793945313,5723.8407864900000276975333690643311,174496.686959785700310,"10010","10010",33730.0000000000000000000000000000000,"10010","977409",Flatiron/Gramercy/Kips Bay,150113.4050000000,0.8602650720,86.0265072100,"960.71","58.69","4.58","775.36","61.78","17.04"
"1","1005800",Manhattan,I,"005800","58",MN13,Hudson Yards-Chelsea-Flatiron-Union Square,"3807",1879679.0285100000910460948944091796875,5720.5739273899998806882649660110474,174629.294103084946983,"10001, 10118","10001",23072.0000000000000000000000000000000,"10001, 10119, 10199","1712835",Chelsea/NoMad/West Chelsea,31735.8292100000,0.1817325630,18.1732563100,"1803.67","106.1","6.73","1421.72","72.15","24.26"
"1","1002202",Manhattan,I,"002202","22.02",MN28,Lower East Side,"3809",603922.1985550000099465250968933105469,3817.3912604299998747592326253652573,56106.343579173990292,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,19.4739207300,0.0003470890,0.0347089460,"1637.67","208.45","9.6","1270.27","179.79","33.8"
